id,title,brand,category,price,rating,stock,recommendation_score
84,Gigabyte Aorus Men Tshirt,Gigabyte,mens-shirts,24.99,3.18,90,103.6
85,Man Plaid Shirt,Classic Wear,mens-shirts,34.99,3.46,82,103.2
86,Man Short Sleeve Shirt,Casual Comfort,mens-shirts,19.99,2.9,2,55.0
87,Men Check Shirt,Urban Chic,mens-shirts,27.99,2.72,95,96.3
88,Nike Air Jordan 1 Red And Black,Nike,mens-shoes,149.99,4.77,7,68.9
89,Nike Baseball Cleats,Nike,mens-shoes,79.99,3.88,12,67.6
90,Puma Future Rider Trainers,Puma,mens-shoes,89.99,4.9,90,125.0
91,Sports Sneakers Off White & Red,Off White,mens-shoes,119.99,4.77,17,79.9
92,Sports Sneakers Off White Red,Off White,mens-shoes,109.99,4.69,62,102.8
93,Brown Leather Belt Watch,Fashion Timepieces,mens-watches,89.99,4.19,32,81.8
94,Longines Master Collection,Longines,mens-watches,1499.99,3.87,100,-172.6
95,Rolex Cellini Date Black Dial,Rolex,mens-watches,8999.99,4.97,40,-1680.6
96,Rolex Cellini Moonphase,Rolex,mens-watches,12999.99,2.58,36,-2530.4
97,Rolex Datejust,Rolex,mens-watches,10999.99,3.66,86,-2083.8
98,Rolex Submariner Watch,Rolex,mens-watches,13999.99,2.69,55,-2718.7
99,Amazon Echo Plus,Amazon,mobile-accessories,99.99,4.99,61,110.3
100,Apple Airpods,Apple,mobile-accessories,129.99,4.15,67,90.5
